Code	Type	Message	Explanation	Solution	Property
2003	ERROR	An ERROR has occurred on the Sage Pay System.	You will receive this error message for usually one or two reasons - if your Terminal ID's have not been set up correctly with your merchant bank or if we are experiencing intermittent authorisation issues where we have not been able to contact your merchant bank when requesting authorisation. This will be due to the transaction timing out and will result in transactions not being authorised and being registered as failed payments.	If you receive this error message and are experiencing this on all your transactions, please contact our customer services team who will need to contact your merchant acquirer to ensure that everything has been set up correctly. If this error message has only appeared on one transaction, then please retry the transaction again.  If this does not resolve the issue, then please email the vendorTxCode along with your vendor name to our customer services team to investigate further.	
2004	OK	The Release was Successful.	The deferred transaction has been successully released and will be sent for settlement.		
2005	OK	The Void was Successful.	The request to VOID a transaction was Successful.	Your transaction has been successfully Voided and will not be sent for settlement at the end of the day.  No further action needed.	
2006	OK	The Abort was Successful.	The request to ABORT a deferred transaction was successful.	Your deferred transaction was Aborted successfully.  The payment will now appear as a failed transaction.  No further action required. Please note that this only applies to Deferred transactions.	
2007	OK	Please redirect your customer to the ACSURL, passing the MD	If you receive this system message, it means you have successfully registered a transactions using the Direct integration method.  As you have 3D secure enabled on your account, our system has provided you with the relevant data (ACSURL, MD, PaReq) to obtain 3D authentication.	You will need to ensure that you redirect your customer to the ACSURL which was provided to you, and also submit the MD and PaReq to ensure you are able to obtain 3D authentication.	
2008	NOTAUTHED	The Transaction timed-out.	The authorisation response was taking longer than expected and has therefore timed-out as a security measure.	Please check our system monitor page to ensure there are no current issues and that our servers are processing transactions as normal. The link is: http://www.sagepay.com/system_monitor.asp. If the monitor page is showing everything normal please contact Sage Pay directly.  You may wish to (or advise your shopper) to try the transaction again at a later time.	
2009	NOTAUTHED	The network connection to the bank is currently unavailable.	Unfortunately, we are unable to authorise your transactions as the network connection to the bank is currently unavailable.	If you receive this system message, we would suggest that you refer to our system monitor page (http://www.sagepay.com/system_monitor.asp) for more information. If the monitor page indicates that there are no issues, please contact us for more information.	
2010	OK	The Authentication was Successful.		Your transaction has been Authenticated successfully. The payment can now be authorised and sent for settlement.	
2011	OK	The Transaction has been Registered.	An Authenticated transaction which is unable to be 3D authenticated will be registered and stored by us. If you receive this message, it means that the transaction has been successfully Registered.	Your transaction has been Registered successfully and will need to be authorised to be sent for settlement.	
2012	OK	The Cancel was Successful.	The request to Cancel an Authenticated transaction was successful.	Your Cancel was Successful, the authenticated payment will now appear in your failed transaction list.  No further action required.  If you need to process this transaction, you will need to process the Authenticated transaction again.	
2013	ABORT	The Transaction was cancelled by the customer.	This is a notification system message to inform you that the transaction was cancelled by the customer. There is no issue with the payment process as this would have be caused by the customer clicking on the Cancel button on the payment page.	You may wish to contact the customer to gain feedback and find out why they did not wish to pursue with the transaction.	
2014	OK	The Transaction was Registered Successfully.	The Transaction was Registered Successfully with Sage Pay.	Your transaction has been Registered successfully and will need to be authorised to be sent for settlement.	
2015		The server encountered an unexpected condition which prevented it from fulfilling the request.		There is a problem with the details that have been supplied. Please check and retry.	
2016		The Card registration has been successful in exchange for a token.		There is a problem with the details that have been supplied. Please check and retry.	
2017		Token removed successfully.		There is a problem with the details that have been supplied. Please check and retry.	
2018		Token not supplied or Invalid token.		There is a problem with the details that have been supplied. Please check and retry.	
2019		Transaction pending		There is a problem with the details that have been supplied. Please check and retry.	
2020		Refunds are not allowed for this payment type		There is a problem with the details that have been supplied. Please check and retry.	
2097		The email address provided was not recognised by PayPal.		There is a problem with the details that have been supplied. Please check and retry.	customerEmail
2098		The primary admin user cannot be locked.		There is a problem with the details that have been supplied. Please check and retry.	
2099		You cannot unlock your own user.		There is a problem with the details that have been supplied. Please check and retry.	
2104		A valid <address> value is required in the format 123.123.123.123. You may need to zero pad your ip address so that each number block contains three digits.		There is a problem with the details that have been supplied. Please check and retry.	
2106		A valid <mask> value is required in the format 123.123.123.123. You may need to zero pad your subnet mask so that each number block contains three digits.		There is a problem with the details that have been supplied. Please check and retry.	
2128		The command cannot be run for the vspvendorname provided.		There is a problem with the details that have been supplied. Please check and retry.	
2142		<vendortxcode> or <vpstxid> element either not found, or present more than once.		There is a problem with the details that have been supplied. Please check and retry.	
2173		The user must have access to the specified <homepage>. Either provide the user with access to the chosen <homepage> or select another <homepage> which the user has access to.		There is a problem with the details that have been supplied. Please check and retry.	
2180		You cannot delete your own user.		There is a problem with the details that have been supplied. Please check and retry.	
2188		<mask> is too restrictive. Only C class subnet masks are allowed for blocking.		There is a problem with the details that have been supplied. Please check and retry.	
2193		3D Secure rule not added. Overlaps with an existing rule.		There is a problem with the details that have been supplied. Please check and retry.	
2194		AVSCV2 rule not added. Overlaps with an existing rule.		There is a problem with the details that have been supplied. Please check and retry.	
2197		The primary admin user cannot be deleted.		There is a problem with the details that have been supplied. Please check and retry.	
2210		No running server found		There is a problem with the details that have been supplied. Please check and retry.	
2212		No successful transaction found within this duration.		There is a problem with the details that have been supplied. Please check and retry.	
2213		Exceeded the allowed amount of commands to execute.		There is a problem with the details that have been supplied. Please check and retry.	
2214		IP Address ##### not added.		There is a problem with the details that have been supplied. Please check and retry.	
2216		<password> can not be less than 8 characters.		There is a problem with the details that have been supplied. Please check and retry.	
2217		IP Address ##### not deleted.		There is a problem with the details that have been supplied. Please check and retry.	
2219		Card Range ##### not added.		There is a problem with the details that have been supplied. Please check and retry.	
2220		Card Range ##### not deleted.		There is a problem with the details that have been supplied. Please check and retry.	
2221		TerminalId ##### not added.		There is a problem with the details that have been supplied. Please check and retry.	
2222		<endrow> cannot be before <startrow>, please check.		There is a problem with the details that have been supplied. Please check and retry.	
2223		<username> and <vendorname> cannot be the same. Please provide different <username> value.		There is a problem with the details that have been supplied. Please check and retry.	
2224		There is no such username associated with your account.		There is a problem with the details that have been supplied. Please check and retry.	
2225		<startdate> cannot be after this month.		There is a problem with the details that have been supplied. Please check and retry.	
2226		<expirydate> cannot be before this month.		There is a problem with the details that have been supplied. Please check and retry.	cardDetails.expiryDate
2227		You must provide the first 9 digits of the card number in the <cardbegins> field.		There is a problem with the details that have been supplied. Please check and retry.	
2228		Cannot complete request. One or more of the specified <terminalids> already exists for the merchant number/currency combination.		There is a problem with the details that have been supplied. Please check and retry.	
2229		A valid <startvalue> value is required,this must be value between 0 and 100000.00.		There is a problem with the details that have been supplied. Please check and retry.	
2230		A valid <endvalue> value is required,this must be value between 0 and 100000.00.		There is a problem with the details that have been supplied. Please check and retry.	
2231		<txtype> values must be either PAYMENT, REFUND, DEFERRED, REPEAT, REPEATDEFERRED, MANUAL, AUTHENTICATE or AUTHORISE.		There is a problem with the details that have been supplied. Please check and retry.	
2232		A valid <authprocessor> is required. This should be one of the following: Barclays Merchant Services, NatWest Streamline, Lloyds TSB Cardnet, HSBC, American Express, Diners Club, Bank Of Scotland, JCB, Bank Of Ireland, Omnipay, Alliance and Leicester, PayPal, Allied Irish Bank or ChasePaymentTech.		There is a problem with the details that have been supplied. Please check and retry.	
2233		Provided vendor name does not exist in the system.		There is a problem with the details that have been supplied. Please check and retry.	
2234		The following currency code(s) are either not valid or not supported:<currency>. Please supply ISO 4217 standard currency codes.		There is a problem with the details that have been supplied. Please check and retry.	
2235		A valid <amount> value is required,this must be value between 0 and 999999999.99.		There is a problem with the details that have been supplied. Please check and retry.	
2236		Provided token id does not exist in the system.		There is a problem with the details that have been supplied. Please check and retry.	
2237		Specified <merchantnumber> already exists.		There is a problem with the details that have been supplied. Please check and retry.	
2238		Unable to find the transaction for the <vpstxid> supplied.		There is a problem with the details that have been supplied. Please check and retry.	
2241		<reportingpassword> can not be less than 8 characters.		There is a problem with the details that have been supplied. Please check and retry.	
2242		Unable to find the transaction for the <vpstxid> supplied.		There is a problem with the details that have been supplied. Please check and retry.	
2243		<endrow> cannot be more than 50 if <startrow> is not provided.		There is a problem with the details that have been supplied. Please check and retry.	
2244		<endrow> cannot be equal to zero.		There is a problem with the details that have been supplied. Please check and retry.	
2245		Fraud screen detail does not exist for this transaction.		There is a problem with the details that have been supplied. Please check and retry.	
2254		The given vendorsurcharge cannot be found.		There is a problem with the details that have been supplied. Please check and retry.	
2255		This Surcharge already exists (paymentsystem and currency combination).		There is a problem with the details that have been supplied. Please check and retry.	
2256		The <paymentsystem> supplied is not available on any merchant accounts associated with this vendor account.		There is a problem with the details that have been supplied. Please check and retry.	
2257		The <currency> supplied is not available on any merchant accounts associated with this vendor account.		There is a problem with the details that have been supplied. Please check and retry.	
2258		Either the currency requested is not available for this payment system, or the supplied combination of currency and paymentsystem is not available for this vendor account.		There is a problem with the details that have been supplied. Please check and retry.	
2260		Surcharge not allowed on this payment system.		There is a problem with the details that have been supplied. Please check and retry.	
2261		Negative surcharge value is not allowed.		There is a problem with the details that have been supplied. Please check and retry.	
2262		Surcharge value for percentage cannot be greater than 100.		There is a problem with the details that have been supplied. Please check and retry.	
2263		The following language code(s) are either not valid or not supported: <defaultlanguage>.		There is a problem with the details that have been supplied. Please check and retry.	
2264		Incorrect Fixed value entered. Only zero or positive decimal values, to 2 decimal places.		There is a problem with the details that have been supplied. Please check and retry.	
2265		Incorrect Fixed value entered. Only zero or positive integer.		There is a problem with the details that have been supplied. Please check and retry.	
2266		Incorrect Percentage value entered. Only zero or positive decimal value, to 2 decimal places.		There is a problem with the details that have been supplied. Please check and retry.	
2267		PPro is not enabled for this vendor.		There is a problem with the details that have been supplied. Please check and retry.	
3000		##### element present more than once.		There is a problem with the details that have been supplied. Please check and retry.	
3001		##### element not found.		There is a problem with the details that have been supplied. Please check and retry.	
3002	INVALID	The VPSTxId is invalid.	This system message is generated when you have not supplied the correct value in the VPSTxId field. It is likely that you received this message when you were attempting to perform a related action to an original transaction (such as a REPEAT, RELEASE, VOID, REFUND etc.) as the VPSTxId, which uniquely identifies a transaction to the Sage Pay system, is generated by us and returned back to you.	To correct this issue, you will need to check your code to ensure you are submitting the correct value. Also check to see if you have submitted the full VPSTxId, including the hyphens and curly brackets.	
3002b		A valid ##### value is required.		There is a problem with the details that have been supplied. Please check and retry.	
3003	INVALID	The Currency is invalid.	Currency fields should contain 3-letter ISO 4217 codes e.g. GBP for UK Sterling, USD for U.S Dollars. If you submit a value which is not in line with the ISO 4217 codes or is not set up on your account, you will get this system message	Please check you code to ensure the Currency field of your POST contains a valid currency code, you may need to contact our customer services team to check which currencies are set up on your Sage Pay account.	
3003b		A valid ##### value is required, this should be either ##### or #####.		There is a problem with the details that have been supplied. Please check and retry.	
3004	INVALID	The Amount is invalid	This system message is generated if the amount field contains any other characters than numerics or is not correctly formatted to the correct number of decimal places for the specified currency.	You will need to make sure that you are sending the correct values for example: 123.45 4567.89 0.34 12.30 but not the values 123.456 4,567.89 .34 12.3 Check your code to ensure you are formatting the Amount field correctly	
3004b		You must provide at least one ##### element within ##### node.		There is a problem with the details that have been supplied. Please check and retry.	
3005	INVALID	The Amount is outside the mininum and maximum limits.	The Sage Pay system has a maximum and minimum acceptable transaction value which are 100,000GBP and 0.01GBP respectively, with approximate equivalents in other currencies. Unfortunately, we are unable to process transaction values outside of these ranges.  You will receive this system message if you are passing an amount that is outside of the supported range.	You will need to ensure that the Amount field value which you are submitting is between 0.01 to 100000.00 or equivalent for other currencies	
3005b		XML does not match the protocol. ##### tag either not required for this command or XML structure is incorrect.		There is a problem with the details that have been supplied. Please check and retry.	
3006	INVALID	The fractional part of the Amount is invalid for the specified currency.	If you have sent an Amount field with an invalid number of digits after the decimal place. e.g. 123.456 instead of 123.46, then you will receive this system message. You may also get this if you send fractional values to currencies that do not have minor units (like Japanese Yen, JPY, which only accepts whole number amounts)	The Amount you are passing has more digits after than the decimal point than is allowed. Please look into the content of the field and ensure you only pass values to the allowed number of decimal places for that currency.	
3006b		##### must be a numeric value.		There is a problem with the details that have been supplied. Please check and retry.	
3007	INVALID	The RelatedSecurityKey format invalid.	The RelatedSecurityKey is a unique security value for each transaction and would have been sent back to your server in the status response of the original transaction. If you have received this system message, it is likely that you are attempting to send an automated REFUND, REPEAT or AUTHORISE request against the original transaction from your server (i.e you are performing any of the above outside of the My Sage Pay admin area) and the RelatedSecurityKey does not match with what we have in the database for this transaction.	You will need to check that you are sending the correct SecurityKey of the original transaction in this field. This value is 10 alphanumeric characters long and should be retrieved from your database.	
3007b		##### must be a numeric value with up to 2 decimal places.		There is a problem with the details that have been supplied. Please check and retry.	
3008	INVALID	The Vendor or Vendorname format is invalid.	The Vendor field should contain the Vendor Name which you specified on your application form when you signed up to Sage Pay. If you did not provide a vendor name, then it would have been supplied by Sage Pay. This is an important field as it allows us to identify and process the transaction through your account.	"All transactions which are posted to the Sage Pay system will contain a ""Vendor"" field which should contain your unique vendor name. You will need to check that this field is sending the correct reference. This will always be 16 characters or less, and only contain letters and numbers with no spaces or unusual characters."	
3008b		##### supplied is too long.		There is a problem with the details that have been supplied. Please check and retry.	
3009	MALFORMED	The VendorTxCode is missing.	A VendorTxCode has not been provided within your transaction registration. The VendorTxCode is a required field which is generated by you as a unique identifier for the transaction.	You will need to check your code to ensure that you are sending this value or that the data is in the correct field. If you are using our Form integration method, you may also sometimes receive this message if your Encryption Password is incorrect, so we would suggest you check this information as well.	
3009b		##### is an invalid date format. Please use format dd/MM/yyyy HH:mm:ss.		There is a problem with the details that have been supplied. Please check and retry.	
3010	INVALID	The RelatedVPSTxId is invalid.	The VPSTxId uniquely identifies the original transaction which you are attempting to REFUND, REPEAT or AUTHORISE through the Sage Pay system. If you are attempting to perform these functions automatically (i.e you are performing any of the above outside of the My Sage Pay admin area) then you will need to submit the VPSTxId of the original transaction in a field called RelatedVPSTxId. If you have not supplied the correct value in the RelatedVPSTxId field, have not submitted it in full or it is incorrectly formatted then you will receive this system message when our systems try to validate the post.	You will need to check your code to ensure you are submitting the correct VPSTxId relating to the original transaction.  This value would have been sent back to you in the status response of the original transaction from Sage Pay. Your system should be storing this information and be retrieving it from your database when performing the above actions.	
3010b		Duplicate Key		There is a problem with the details that have been supplied. Please check and retry.	
3011	INVALID	The NotificationURL format is invalid.	The NotificationURL which you have provided is not recognised by the Sage Pay servers and therefore we cannot send you all the transaction completion information.	The NotificationURL field must contain a Fully Qualified Domain Name pointing to the externally visible page on your site. You will need to review your code and change the URL to only use a fully qualified URL which must be http:// or https:// and be accessible.	
3012	INVALID	The RelatedVendorTxCode format invalid.	The RelatedVendorTxCode should contain the VendorTxCode of the original transaction against which you trying to REFUND, REPEAT or AUTHORISE. If this value is incorrect or invalid, then our system will be unable to identify the original transaction.	You will need to check your code to ensure you are retrieving the correct VendorTxCode from your database and sending it through in the RelatedVendorTxCode field. It should be less than 40 characters long, contain only letters and numbers and match the value passed in the original transaction.	
3013	MALFORMED	The Description is missing.	Your transaction registration must contain a Description field which contains a brief (100 characters or less) description of the transaction being performed. This provides a description of the goods purchased is displayed on the payment page as the customer enters their card details, and within the My Sage Pay admin area.	This is a required value within the Protocol and you will need to check your code to ensure that you are sending this information for each transaction you register with Sage Pay.	
3014	INVALID	The TxType or PaymentType is invalid.	The TxType field determines how the transaction will be processed by the Sage Pay system. It should contain the type of transaction you wish to perform including values such as PAYMENT, DEFERRED, AUTHENTICATE etc as outlined within the Protocol and Integration guidelines. If you don't provide this value or it is incorrect, the Sage Pay system will not know how to handle the transaction and therefore generate this system message.	This is a required field and needs to be sent with every transaction you register with Sage Pay. You will need to check the Protocol for the integration method (Form, Server or Direct) that you are using to ensure that you are sending the correct value in the TxType field.	
3015	INVALID	The BillingAddress value is too long.	The BillingAddress field which you have provided is longer than what is allowed.  This field can contain up to 200 characters.	You will need to check your code to ensure that you server doesn't send more than 200 characters each time.	billingAddress.address1
3016	INVALID	The BillingPostCode value is too long.	The BillingPostCode field which you have provided is longer than what is allowed. This field can contain up to 10 characters.	You will need to check your code to ensure that your server doesn't send more that 10 characters within this field.	billingAddress.postalCode
3017	INVALID	The RelatedTxAuthNo format is invalid.	The RelatedTxAuthNo field should only ever contain the TxAuthNo (otherwise known as the VPSAuthCode) for the original transaction which you are performing a REFUND, REPEAT or AUTHORISE for. It should be a number and the value should match the value that was passed back to you by Sage Pay when the original transaction was completed.	You will need to check your code to ensure that the correct value is being retrieved from your database and that you are sending it through to Sage Pay within the correct field.	
3018	INVALID	The GiftAid flag is invalid. If a value is supplied, should contain either 0 or 1.	The GiftAid field specifies whether you wish to apply gift aid to the transaction. If you do, then the payment page will display the relevant text to provide the shopper with the option to allow GiftAid to be applied. If you have received this system message, then the value which you have provided in this field is not what is specified within the protocol.	The GiftAid field can only ever contain two values : 1 : Allow Gift Aid 0: Do Not Allow Gift Aid.  If any other characters or spaces are being passed or provided, then you will receive this error code and message.	
3019	INVALID	The ApplyAVSCV2 flag is invalid. The value, if supplied, should contain either 0, 1, 2 or 3.	If you have received this system message, then the value which you have provided in this field is not what is specified within the protocol.	The ApplyAVSCV2 field can only ever contain the following four values : 0: Use the Default setting on your account 1: Force the AVS/CV2 checks and use the appropriate rules 2: Force No Checks for this transaction and ignore the rules 3: Force the AVS/CV2 checks but DO NOT wish to apply rules.  If any other characters or spaces are being passed or provided, then you will receive this error code and message.	
3020	INVALID	The Apply3DSecure flag is invalid. The value, if supplied, should contain either 0, 1, 2 or 3.	If you have received this system message, then the value which you have provided in this field is not what is specified within the protocol.	The Apply3DSecure field can only contain the following values: 0: Use the default setting on the Sage Pay System, 1: Force 3D-Secure checks and use appropriate rules 2: Force NO CHECKS for this transaction and always gain and authorisation 3: Force 3D-Secure checks but DO NOT apply rules and always gain an authorisation If any other characters or spaces are being passed or provided, then you will receive this error code and message.	
3021	INVALID	The Basket format is invalid.	If you have received this system message, you are passing across shopping basket information to Sage Pay, however the format of the information is invalid and unable to be read by the Sage Pay servers.	The basket field should contain your Basket details in the following format: Number of lines of detail in the basket field (n): Item 1 Description: Quantity of item 1: Unit cost item 1 without tax: Tax applied to item 1: Cost of Item 1 including tax: Total cost of item 1 (Quantity x cost including tax): Item 2 Description: Quantity of item 2: .... Cost of Item n including tax: Total cost of item n. Please refer to the integration documentation for more information.	
3022	INVALID	The CustomerEMail is too long.	The CustomerEMail field, if provided, can only contain up to a maximum of 255 characters.  It is likely that you are submitting several email addresses which is therefore generating this system message.	You will need to ensure that you do not submit more than the maximum of 255 characters within this field.	customerEmail
3023	INVALID	The Contact Fax is too long.	The ContactFax field, if provided, can only contain a maximum of up to 20 characters.  If you are providing a value which has more that 20 characters then you will receive this system message.	You will need to ensure that your code is not sending more than 20 characters within this field and that no invalid characters are being sent.	
3024	INVALID	The ContactNumber is too long.	The ContactNumber field, if provided, can only contain a maximum of up to 20 characters.  If you are providing a value which has more that 20 characters then you will receive this system message.	You will need to ensure that your code is not sending more than 20 characters within this field and that no invalid characters are being sent.	
3025	INVALID	The DeliveryPostCode is too long.	The DeliveryPostCode field, if provided, can only contain a maximum of up to 10 characters.  If you are providing a value which has more that 10 characters then you will receive this system message.	You will need to ensure that your code is not sending more than 10 characters within this field and that no invalid characters are being sent.	shippingDetails.shippingPostalCode
3026	INVALID	The DeliveryAddress is too long.	The DeliveryAddress field, if provided, can only contain a maximum of up to 200 characters.  If you are providing a value which has more that 200 characters then you will receive this system message.	You will need to ensure that your code is not sending more than 200 characters within this field and that no invalid characters are being sent.	shippingDetails.shippingAddress1
3027	INVALID	The BillingPostCode is too long.	The BillingPostCode field, if provided, can only contain a maximum of up to 10 characters.  If you are providing a value which has more that 10 characters then you will receive this system message.	You will need to ensure that your code is not sending more than 10 characters within this field and that no invalid characters are being sent.	billingAddress.postalCode
3028	INVALID	The BillingAddress is too long.	The BillingAddress field, if provided, can only contain a maximum of up to 200 characters.  If you are providing a value which has more that 200 characters then you will receive this system message.	You will need to ensure that your code is not sending more than 200 characters within this field and that no invalid characters are being sent.	billingAddress.address1
3029	MALFORMED	The FailureURL is missing.	When using the Form solution you will need to provide us with a Failure URL field containing a Fully Qualified Domain Name pointing to the externally visible page on your site to which customers are returned if a transaction fails. The Failure URL value will need to be provided within your crypt string when posting your transaction registration.	Please check to ensure that a Failure URL is being provided with each transaction as this is a required field. A transaction is unable to be registered without this information.	
3030	MALFORMED	The SuccessURL is missing.	When using the Form solution you will need to provide us with a Success URL field containing a Fully Qualified Domain Name pointing to the externally visible page on your site to which customers are returned if a transaction completes. The Success URL value will need to be provided within your crypt string when posting your transaction registration.	Please check to ensure that a Success URL is being provided with each transaction as this is a required field. A transaction is unable to be registered without this information.	
3031	MALFORMED	The Amount value is required.	Your transaction registration POST must contain an Amount field specifying the total value of the transaction that needs to be authorised.  The Amount field should only contain numbers, with no separator characters and formatted to the correct number of decimal places for the specified currency.  For example if your currency is GBP, the Amount field value can be sent as 123.45, 4567.89, 0.36, 12.30 but not as 123.456, 4,567.89, .36 or 12.3.	Please check the data you are posting through to Sage Pay and ensure that the Amount field is being passed. For more information please refer to the protocol guides.	
3032	INVALID	The Amount format is invalid.	The Amount field value can only contain numbers with no separator characters and this should be formatted to the correct number of decimal places for the specified currency.  For example if your currency is GBP, the Amount field value can be sent as 123.45, 4567.89, 0.36, 12.30 but not as 123.456, 4,567.89, .36 or 12.3.	The amount field you are passing through is invalid.  This field is numerical only and can only support values from 0.01 to 100000.00.  Please ensure you are only passing values within this range and not including any separator characters other than the decimal point.	
3033	MALFORMED	The RelatedSecurityKey is required.	You need to ensure that you always send a value within the RelatedSecurityKey field when sending an automated REFUND, REPEAT or AUTHORISE request to Sage Pay from your sever.  You should be sending the SecurityKey from the original transaction within this field and this can be retrieved from your database and this value should contain 10 alphanumeric characters.	You will need to check your code to verify the SecurityKey from the original transaction to which you are attempting to send your REFUND, REPEAT or AUTHORISE request to.  The SecurityKey value should contain 10 alphanumeric characters and you must always pass this value within the RelatedSecurityKey field when posting your transaction registration over to Sage Pay.	
3034	MALFORMED	The Vendor or VendorName value is required.	The Vendor field should contain the vendor name supplied by Sage Pay, or selected by you when completing your online application form.  It will only ever be able to contain a maximum of 16 characters consisting of numbers and letters with no spaces or unusual characters.  You will need to check your code to ensure that you have supplied this value in the Vendor field.	Please check to ensure that a Vendor name is being provided with each transaction as this is a required field. A transaction is unable to be registered without this information.	
3035	INVALID	The VendorTxCode format is invalid.	The VendorTxCode should contain your unique transaction reference identifying each separate transaction registration. If any unacceptable characters are passed or the value is longer than it should be, you will receive this system message.	It should contain no more than 40 characters consisting of letters and numbers only with no spaces or special characters.  The only exceptions that can be provided as characters along with letters and numbers are hyphens(-), underscores (_) or full stops(.).  You must always check your code to ensure that you are providing a valid identifier within the VendorTxCode field for all transactions.	
